2026-05-11 08:57:53 WARN  TestNGContentHandler:133 - It is strongly recommended to add "<!DOCTYPE suite SYSTEM "https://testng.org/testng-1.1.dtd" >" at the top of the suite file [C:\Automation\seleniumWebDriver\Opencart\grouping.xml] otherwise TestNG may fail or not work as expected.
2026-05-11 08:57:53 INFO  Utils:112 - [TestNG] Running:
  C:\Automation\seleniumWebDriver\Opencart\grouping.xml

2026-05-11 08:58:01 INFO  TC001_AccountRegistrationTest:17 - *** Starting TC001_AccountRegistrationTest ***
2026-05-11 08:58:02 INFO  TC001_AccountRegistrationTest:20 - Clicking My Account
2026-05-11 08:58:02 INFO  TC001_AccountRegistrationTest:22 - Clicking Register
2026-05-11 08:58:02 INFO  TC001_AccountRegistrationTest:27 - Providing Customer Details
2026-05-11 08:58:03 INFO  TC001_AccountRegistrationTest:36 - Clicking CheckBox and Button
2026-05-11 08:58:05 INFO  TC001_AccountRegistrationTest:57 - *** Finished TC001_AccountRegistrationTest ***
2026-05-11 08:58:13 INFO  TC002_LoginTest:16 - ***Starting TC002_Verify_Login***
2026-05-11 08:58:15 INFO  TC002_LoginTest:44 - ***Finished TC002_Verify_Login***
2026-05-11 09:50:47 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 1 ms.
2026-05-11 09:50:47 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-05-11 09:50:47 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-05-11 09:50:47 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-05-11 09:50:47 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-05-11 09:50:47 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-05-11 09:50:47 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-05-11 09:50:47 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-05-11 09:50:47 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 3 ms.
2026-05-11 09:50:47 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 6 ms.
2026-05-11 09:50:47 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-05-11 09:50:47 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-05-11 09:50:47 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-05-11 09:50:47 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-05-11 09:50:47 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-05-11 09:50:47 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-05-11 09:50:47 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-05-11 09:50:47 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-05-11 09:50:47 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-05-11 09:50:47 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-05-11 09:50:47 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-05-11 09:50:47 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-05-11 09:50:47 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-05-11 09:50:47 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-05-11 09:50:47 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-05-11 09:50:47 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-05-11 09:50:47 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-05-11 09:50:47 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-05-11 09:50:47 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-05-11 09:50:47 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-05-11 09:50:47 INFO  Utils:112 - [TestNG] Running:
  C:\Users\2477209\AppData\Local\Temp\testng-eclipse--275235291\testng-customsuite.xml

2026-05-11 09:50:47 INFO  Utils:112 - [Utils] DynamicGraphHelper.createDynamicGraph() took 4 ms.
2026-05-11 09:50:47 INFO  Utils:112 - [TestNG] Time taken by org.testng.reporters.jq.Main@3eeb318f: 135 ms
2026-05-11 09:50:47 INFO  Utils:112 - [TestNG] Time taken by org.testng.reporters.FailedReporter@68b6f0d6: 23 ms
2026-05-11 09:50:47 INFO  Utils:112 - [TestNG] Time taken by org.testng.reporters.XMLReporter@60a2630a: 18 ms
2026-05-11 09:50:47 INFO  Utils:112 - [TestNG] Time taken by org.testng.reporters.EmailableReporter2@674658f7: 15 ms
2026-05-11 09:50:47 INFO  Utils:112 - [TestNG] Time taken by org.testng.reporters.JUnitReportReporter@20a8a64e: 15 ms
2026-05-11 09:50:47 INFO  Utils:112 - [TestNG] Time taken by org.testng.internal.ExitCodeListener@62f4ff3b: 0 ms
2026-05-11 10:07:36 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 1 ms.
2026-05-11 10:07:36 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-05-11 10:07:36 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-05-11 10:07:36 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-05-11 10:07:36 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-05-11 10:07:36 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-05-11 10:07:36 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-05-11 10:07:36 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-05-11 10:07:36 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 2 ms.
2026-05-11 10:07:36 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 4 ms.
2026-05-11 10:07:36 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-05-11 10:07:36 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 1 ms.
2026-05-11 10:07:36 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-05-11 10:07:36 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-05-11 10:07:36 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-05-11 10:07:36 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-05-11 10:07:36 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-05-11 10:07:36 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-05-11 10:07:36 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-05-11 10:07:36 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-05-11 10:07:36 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-05-11 10:07:36 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-05-11 10:07:36 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-05-11 10:07:36 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-05-11 10:07:36 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-05-11 10:07:36 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-05-11 10:07:36 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-05-11 10:07:36 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-05-11 10:07:36 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
2026-05-11 10:07:36 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
2026-05-11 10:07:36 INFO  Utils:112 - [TestNG] Running:
  C:\Users\2477209\AppData\Local\Temp\testng-eclipse--1508854636\testng-customsuite.xml

2026-05-11 10:07:36 INFO  Utils:112 - [Utils] DynamicGraphHelper.createDynamicGraph() took 5 ms.
2026-05-11 10:07:36 INFO  Utils:112 - [TestNG] Time taken by org.testng.reporters.jq.Main@45e37a7e: 106 ms
2026-05-11 10:07:36 INFO  Utils:112 - [TestNG] Time taken by org.testng.reporters.FailedReporter@72758afa: 23 ms
2026-05-11 10:07:36 INFO  Utils:112 - [TestNG] Time taken by org.testng.reporters.XMLReporter@52045dbe: 14 ms
2026-05-11 10:07:36 INFO  Utils:112 - [TestNG] Time taken by org.testng.reporters.EmailableReporter2@2cae1042: 16 ms
2026-05-11 10:07:36 INFO  Utils:112 - [TestNG] Time taken by org.testng.reporters.JUnitReportReporter@4febb875: 10 ms
2026-05-11 10:07:36 INFO  Utils:112 - [TestNG] Time taken by org.testng.internal.ExitCodeListener@25e2a451: 0 ms
2026-05-11 10:09:19 WARN  TestNGContentHandler:133 - It is strongly recommended to add "<!DOCTYPE suite SYSTEM "https://testng.org/testng-1.1.dtd" >" at the top of the suite file [C:\Automation\seleniumWebDriver\Opencart\master.xml] otherwise TestNG may fail or not work as expected.
